target.x;target.y;delta.x;delta.y
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-3;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-3;on
480;150;-1;-3;on
480;150;-1;-3;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-3;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-3;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-3;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-3;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-3;on
480;150;-1;-4;on
480;150;-1;-3;on
480;150;-1;-3;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-3;on
480;150;-1;-3;on
480;150;-1;-3;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-3;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-4;on
480;150;-1;-3;on
480;150;-1;-4;on
